title,attribution,medium,objectid,iiifthumburl
Plate 39: Three Puppies with a Crate and a Bunch of Grapes,Joris Hoefnagel,"watercolor and gouache, with oval border in gold, on vellum",69785,"https://api.nga.gov/iiif/48b6958c-29ef-40c9-a76e-ffab0296659e/full/!200,200/0/default.jpg"
Roach Trap,Yolande Delasser,watercolor and graphite on paperboard,25464,"https://api.nga.gov/iiif/86584df4-e187-4118-b8fe-e121920c9966/full/!200,200/0/default.jpg"
The Worship of the Golden Calf,Workshop of Jacopo Tintoretto,oil on canvas,321,"https://api.nga.gov/iiif/9d65469d-7f64-4f58-8123-527ba3865458/full/!200,200/0/default.jpg"
Night Nude,Milton Avery,woodcut in black on wove paper,74356,"https://api.nga.gov/iiif/130b110c-19a0-41f3-b1d1-51005b75b013/full/!200,200/0/default.jpg"
Bowl,Nicholas Amantea,watercolor and graphite on paperboard,23676,"https://api.nga.gov/iiif/36574af1-922a-4c31-ab62-4226cade0b49/full/!200,200/0/default.jpg"
Small Side Chair,Sienese 16th Century,walnut,1564,"https://api.nga.gov/iiif/8998cabe-6bdd-4f5f-a40d-327498d2084b/full/!200,200/0/default.jpg"
Balcony Railing,Al Curry,pen and ink on paper,29071,"https://api.nga.gov/iiif/91206597-a42f-4a67-8ee6-6b5999a90b3f/full/!200,200/0/default.jpg"
Sombre développement,Jean Dubuffet,color lithograph,53001,"https://api.nga.gov/iiif/3952d424-be5b-428d-9e5c-7ba39cea23ba/full/!200,200/0/default.jpg"
Ox Cart Chair,Wilbur M Rice,"watercolor, gouache, colored pencil, and graphite on paper",17793,"https://api.nga.gov/iiif/7940f22c-64cd-4f87-b2f3-b3e66b4983f3/full/!200,200/0/default.jpg"
Boulogne,Théo van Rysselberghe,etching with aquatint in gray-green on cream laid paper,134212,"https://api.nga.gov/iiif/f3bb0673-62d0-4c2a-8b20-890ecc1d3d97/full/!200,200/0/default.jpg"
Forêt,Félix-Hilaire Buhot,etching on laid paper,135482,"https://api.nga.gov/iiif/116a8b41-7ef8-4536-84e7-d0968dbc0b7d/full/!200,200/0/default.jpg"
Shipping Scene from the Collection of Philip Hollingworth,Elisha Kirkall after Willem van de Velde the Elder,mezzotint and etching printed in green and black on laid paper,136208,"https://api.nga.gov/iiif/53fd156f-a53d-46e0-b6b6-0812b8f97463/full/!200,200/0/default.jpg"
William Sidney Mount,Charles Loring Elliott,oil on canvas,34054,"https://api.nga.gov/iiif/88b24c8c-600a-4080-922f-6960c60608a2/full/!200,200/0/default.jpg"
